skill,menciones,porcentaje_ofertas,categoria
Servicio al cliente,109,10.9,conocimiento
Mantenimiento,90,9.0,conocimiento
Trabajo en equipo,75,7.5,destreza
programación,41,4.1,blanda
Liderazgo,41,4.1,destreza
coordinación,24,2.4,blanda
Seguridad y salud en el trabajo,23,2.3,conocimiento
Comunicación asertiva,21,2.1,destreza
negociación,21,2.1,blanda
Diseño,19,1.9,conocimiento
instalación,15,1.5,blanda
Farmacia,13,1.3,conocimiento
reparación,12,1.2,blanda
C,12,1.2,técnica
Relaciones interpersonales,12,1.2,destreza
escucha activa,12,1.2,blanda
Manipulación de alimentos,11,1.1,conocimiento
Primeros auxilios,11,1.1,conocimiento
Interpretación,10,1.0,destreza
Física,10,1.0,conocimiento
control de calidad,8,0.8,blanda
Medicina,8,0.8,conocimiento
Ensamble,6,0.6,destreza
Economía,6,0.6,conocimiento
Conciliación,5,0.5,destreza
orientación al servicio,5,0.5,blanda
Servicios de oficina y administrativos,5,0.5,conocimiento
redacción,5,0.5,blanda
Seguir instrucciones,5,0.5,destreza
Chef,5,0.5,técnica
ciencias,5,0.5,blanda
mantenimiento de equipos,5,0.5,blanda
R,4,0.4,técnica
Creatividad,4,0.4,destreza
SAS,4,0.4,técnica
Química,4,0.4,conocimiento
persuasión,4,0.4,blanda
Interpretación de planos,4,0.4,conocimiento
Canva,3,0.3,técnica
gestión del tiempo,3,0.3,blanda
Proactividad,3,0.3,destreza
matemáticas,2,0.2,blanda
ServiceNow,2,0.2,técnica
Criterio y toma de decisiones,2,0.2,destreza
gestión de recursos materiales,2,0.2,blanda
Trabajo bajo presión,2,0.2,destreza
Linux,2,0.2,técnica
Facebook,2,0.2,técnica
Manejo de las TIC,2,0.2,conocimiento
Procesamiento de alimentos,1,0.1,conocimiento
Microsoft Excel,1,0.1,técnica
análisis de operaciones,1,0.1,blanda
TikTok,1,0.1,técnica
Bellas artes,1,0.1,conocimiento
pensamiento crítico,1,0.1,blanda
resolución de problemas complejos,1,0.1,blanda
Construcción e ingeniería civil,1,0.1,conocimiento
Selección de equipo,1,0.1,destreza
WordPress,1,0.1,técnica
selección de equipos,1,0.1,blanda
Zoom,1,0.1,técnica
comunicación oral,1,0.1,blanda
Análisis de control de calidad,1,0.1,destreza
Evaluación y control de actividades,1,0.1,destreza
gestión de personal,1,0.1,blanda
Python,1,0.1,técnica
Estadística,1,0.1,conocimiento
Deportes,1,0.1,conocimiento
Flexibilidad y adaptabilidad,1,0.1,destreza
