skill,menciones,porcentaje_ofertas,categoria
"Active Listening",216,7.2,blanda
"Critical Thinking",194,6.5,blanda
"Python",191,6.4,técnica
"Complex Problem Solving",169,5.6,blanda
"Time Management",169,5.6,blanda
"SQL",150,5.0,técnica
"Judgment and Decision Making",132,4.4,blanda
"Speaking",130,4.3,blanda
"Machine Learning",116,3.9,técnica
"Active Learning",109,3.6,blanda
"Writing",104,3.5,blanda
"Negotiation",103,3.4,blanda
"Programming",89,3.0,blanda
"Coordination",88,2.9,blanda
"JavaScript",83,2.8,técnica
"Power BI",78,2.6,técnica
"Amazon Web Services",75,2.5,técnica
"Systems Analysis",75,2.5,blanda
"Java",68,2.3,técnica
"Microsoft Azure",60,2.0,técnica
"Git",60,2.0,técnica
"Monitoring",55,1.8,blanda
"React",52,1.7,técnica
"Tableau",51,1.7,técnica
"TensorFlow",43,1.4,técnica
"Docker",37,1.2,técnica
"R",36,1.2,técnica
"Kubernetes",30,1.0,técnica
"C++",30,1.0,técnica
"PyTorch",25,0.8,técnica
