skill,menciones,porcentaje_ofertas,categoria
"Active Listening",262,3.6,blanda
"Critical Thinking",241,3.3,blanda
"Python",235,3.3,técnica
"Complex Problem Solving",230,3.2,blanda
"SQL",212,2.9,técnica
"Time Management",184,2.6,blanda
"Active Learning",155,2.2,blanda
"Amazon Web Services",147,2.0,técnica
"Machine Learning",141,2.0,técnica
"Judgment and Decision Making",132,1.8,blanda
"Speaking",118,1.6,blanda
"Writing",117,1.6,blanda
"Git",114,1.6,técnica
"JavaScript",114,1.6,técnica
"Programming",109,1.5,blanda
"Negotiation",103,1.4,blanda
"Systems Analysis",86,1.2,blanda
"Coordination",85,1.2,blanda
"Java",82,1.1,técnica
"Microsoft Azure",81,1.1,técnica
"Docker",78,1.1,técnica
"Power BI",77,1.1,técnica
"Tableau",70,1.0,técnica
"TensorFlow",69,1.0,técnica
"React",66,0.9,técnica
"Kubernetes",60,0.8,técnica
"PyTorch",51,0.7,técnica
"R",46,0.6,técnica
"Monitoring",44,0.6,blanda
"C++",29,0.4,técnica
