skill,menciones,porcentaje_ofertas,categoria
"Python",263,3.3,técnica
"Active Listening",248,3.1,blanda
"Critical Thinking",229,2.9,blanda
"SQL",195,2.4,técnica
"Machine Learning",187,2.3,técnica
"Complex Problem Solving",177,2.2,blanda
"Judgment and Decision Making",172,2.1,blanda
"Active Learning",159,2.0,blanda
"Time Management",138,1.7,blanda
"Speaking",137,1.7,blanda
"Git",122,1.5,técnica
"Systems Analysis",115,1.4,blanda
"Power BI",110,1.4,técnica
"Negotiation",109,1.4,blanda
"Writing",109,1.4,blanda
"JavaScript",105,1.3,técnica
"Programming",105,1.3,blanda
"Microsoft Azure",98,1.2,técnica
"Coordination",98,1.2,blanda
"Amazon Web Services",95,1.2,técnica
"Java",91,1.1,técnica
"React",70,0.9,técnica
"Docker",67,0.8,técnica
"Tableau",63,0.8,técnica
"TensorFlow",63,0.8,técnica
"Monitoring",55,0.7,blanda
"Kubernetes",52,0.7,técnica
"R",45,0.6,técnica
"PyTorch",43,0.5,técnica
"C++",29,0.4,técnica
